conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.99E+18,Tue Nov 25 13:50:39 +0000 2025,0,@starryskiesxoxo It's so funny!! I show everyone this anime since it's great no matter how many times you watch it ,1.99E+18,,starryskiesxoxo,en,,0,0,0,https://x.com/undefined/status/1993316403609239610,1.83E+18,
1.99E+18,Tue Nov 25 13:50:35 +0000 2025,0,@ArcRay20 @DatChaosGuy Man i REALLY wish Bandai Namco would use their shonen anime licenses the same way they use their Sci-fi licenses for once. I feel like a crossover RPG featuring Goku Luffy and Naruto would be a lot more interesting than yet another Arena fighter.,1.99E+18,,ArcRay20,en,,0,0,0,https://x.com/undefined/status/1993316386463257029,1.51E+18,
1.99E+18,Tue Nov 25 13:50:33 +0000 2025,0,@IKaggern @tanijrou She literally do that in the anime,1.99E+18,,IKaggern,en,,0,0,0,https://x.com/undefined/status/1993316377671741586,831776815,
1.99E+18,Tue Nov 25 13:50:31 +0000 2025,0,Look at THESE I found two 20+ year old puzzles from the advanced generation era of the anime THEY ARE SO CUTE Ofc ziggy is on both besides peak being on there I love the choice of mons these are the cutest things ever I'll definitely get these framed! https://t.co/aupEnkHubj,1.99E+18,https://pbs.twimg.com/media/G6muq7EWUAA2Oye.jpg,,en,,0,1,0,https://x.com/undefined/status/1993316370885275916,1.45E+18,
1.99E+18,Tue Nov 25 13:50:21 +0000 2025,0,Favourite moment in Evangelion #EVANGELION #Eva #neongenesisevangelion #anime #animefanart #sketch #drawing #animefanart #lenascribbles #kaji #shinjiikarib https://t.co/tqljoq2gwH,1.99E+18,https://pbs.twimg.com/media/G6muG89WQAA5yQK.jpg,,en,,0,0,0,https://x.com/undefined/status/1993316328321450059,125671815,
1.99E+18,Tue Nov 25 13:50:12 +0000 2025,0,for a brief period of time in my teens I was extremely knowledgeable about guitars (not anymore) and the singular contributing factor to that knowledge was my morbid obsession with k-on the anime,1.99E+18,,,en,,0,0,0,https://x.com/undefined/status/1993316291017576885,600656195,
1.99E+18,Tue Nov 25 13:50:10 +0000 2025,0,-rl Hi there i m looking for new friends who likes to interact. I put my interest in cats music and anime. Leave a trace with a question or just hi https://t.co/TmnJDJltIg,1.99E+18,https://pbs.twimg.com/media/G6mul_XXkAA5WOP.jpg,,en,,0,9,0,https://x.com/undefined/status/1993316280867213368,1.25E+18,
1.99E+18,Tue Nov 25 13:50:07 +0000 2025,1,@JohnHinnih @jeleechandayo @taka8rie @yorukura_anime @InfoItomiku @miyju_tomita @uesaka_official @FateGO_USA @FGO_clubchaldea @yanokun3 @stb_anime Oh oh seriously that is obvious + if you look at the cast + but I won't question you + if you say that + you sense something + then you sense something + thanks for telling me + I will research who Himeragi /@FateGO_USA/@FGO_clubchaldea/ guys are like germs to me https://t.co/j5bdDoJDWh,1.99E+18,https://pbs.twimg.com/media/G6mugYvaQAAlzlU.jpg,JohnHinnih,en,,0,0,1,https://x.com/undefined/status/1993316268213256429,1.77E+18,
1.99E+18,Tue Nov 25 13:49:57 +0000 2025,0,@anime_twits no way it got cute,1.99E+18,,anime_twits,en,,0,0,0,https://x.com/undefined/status/1993316230120587594,1.35E+18,
1.99E+18,Tue Nov 25 13:49:55 +0000 2025,0, ever bullied you for liking anime oh my god bruh,1.99E+18,,,en,,0,0,0,https://x.com/undefined/status/1993316217898299857,1.97E+18,
1.99E+18,Tue Nov 25 13:49:52 +0000 2025,0,@saiimu_fun I have so many anime shows in my list after finishing Demon slayer which i will watch the movie on Thursday https://t.co/pdpcrgVmYJ,1.99E+18,https://pbs.twimg.com/media/G6muhWrWYAAhVO7.jpg,saiimu_fun,en,,0,0,0,https://x.com/undefined/status/1993316207349399968,1.29E+18,
1.99E+18,Tue Nov 25 13:49:44 +0000 2025,0,@John_Cyrano @YourBlurry @theonetimfrom91 @M1das_OW2 Valid point on Kusanagi's cyborg shell as a standard model not fixed to ethnicity with Johansson matching the anime design original director Mamoru Oshii agreed. Still sources like TIME and The Guardian cite it as whitewashing due to the manga's Japanese roots and Hollywood's,1.99E+18,,John_Cyrano,en,,0,1,0,https://x.com/undefined/status/1993316171748397351,1.72E+18,
1.99E+18,Tue Nov 25 13:49:36 +0000 2025,0,Another wip awkwk drawing myself so I can be anime.. anyway im looking for new artmoots lets kill the algorithm! #artmoots https://t.co/Xe2SuBZHpf,1.99E+18,https://pbs.twimg.com/media/G6mud0qbwAEggKw.jpg,,en,,0,0,0,https://x.com/undefined/status/1993316141163594019,1.93E+18,
1.99E+18,Tue Nov 25 13:49:30 +0000 2025,0,@KrystalogyTV Peak anime,1.99E+18,,KrystalogyTV,en,,0,0,0,https://x.com/undefined/status/1993316115079217625,1.64E+18,
1.99E+18,Tue Nov 25 13:49:30 +0000 2025,0,Anime themed sports are boring,1.99E+18,,,en,,0,0,0,https://x.com/undefined/status/1993316113829286136,101412861,
1.99E+18,Tue Nov 25 13:49:26 +0000 2025,0,My roman empire is when those three older ladies at a huge family gathering told me i look like an anime drawing honestly that s lowkey a whole next level of compliment شكرا ياخالة^^,1.99E+18,,,en,,0,0,0,https://x.com/undefined/status/1993316098536562698,1.90E+18,
1.99E+18,Tue Nov 25 13:49:19 +0000 2025,0,@m3lvnn Demon Wepons in manga eats human souls in anime Kishin eggs. Kishin eggs exist only in anime. https://t.co/kro8fF4F6q,1.99E+18,https://pbs.twimg.com/media/G6muVcCWAAATpoA.jpg,m3lvnn,en,,0,0,0,https://x.com/undefined/status/1993316068325310955,7.53E+17,
1.99E+18,Tue Nov 25 13:49:15 +0000 2025,0,@SethBurn @nuggetpalooza Yes Tank is a classic. Cant think of a more iconic anime intro,1.99E+18,,SethBurn,en,,0,0,0,https://x.com/undefined/status/1993316050641793288,45846360,
1.99E+18,Tue Nov 25 13:55:35 +0000 2025,0,@NoJusticeMTG Taxing top earners more? Politics of envy?,1.99E+18,,NoJusticeMTG,en,,0,0,0,https://x.com/undefined/status/1993317647367520768,9.90E+17,
1.99E+18,Tue Nov 25 13:55:35 +0000 2025,2,@jbm32753 @JimBonz @electroboyusa @PaulDereume @wins_rick @Beleafer1 @DabuzzNYC @mdmynatt @stward01 @plawler610 @NycLadi @IamVyv @PeanutTweezer @JamesFLoveIV @Chris430968 @4thDimension111 Trump Hegseth put on blast after attacking American hero: Small petty insecure loser https://t.co/ELWuDCy1UQ,1.99E+18,,jbm32753,en,,0,0,0,https://x.com/undefined/status/1993317646243119467,1.17E+18,
1.99E+18,Tue Nov 25 13:55:34 +0000 2025,0, Since my days as a student I have been involved in politics and have continuously fought to uphold democracy. HE Atiku Abubakar GCON https://t.co/EijuewjVq7,1.99E+18,https://pbs.twimg.com/amplify_video_thumb/1993317469969113088/img/Cm9jqq6YDmbzMkI1.jpg,,en,,0,0,0,https://x.com/undefined/status/1993317640643715118,1.58E+18,
1.99E+18,Tue Nov 25 13:55:29 +0000 2025,0,Deep-pocketed conservative group once at odds with Trump now all-in to 'help him win' https://t.co/yAy9E2TvPc #FoxNews,1.99E+18,,,en,,0,0,0,https://x.com/undefined/status/1993317620599185505,1.95E+18,
1.99E+18,Tue Nov 25 13:55:27 +0000 2025,0,The move comes after a judge set a trial date for next August yesterday. At this point at given that it could drag out a full year we might as well go ahead and call for a meeting and vote on it vice chair Roberto Alonso said. https://t.co/HktVUaSV2N,1.99E+18,,claireheddles,en,,0,0,0,https://x.com/undefined/status/1993317610675704213,2934737651,
1.99E+18,Tue Nov 25 13:55:26 +0000 2025,0,@Lancegooden It's not a question of activist judges. Pam Bondi is loyal to Trump but she's just not up to the job of AG. The indictment was dismissed because of her incompetence. https://t.co/iQCuQVgj3g,1.99E+18,,Lancegooden,en,,0,0,0,https://x.com/undefined/status/1993317608687317053,17844652,
